id;date;montant;taux;img_url;dossierdecredit_id
1;31/01/2020; 100 000 ;97,00%;;105
2;31/01/2020; 15 000 000 ;100,00%;;109
3;31/01/2020; 10 500 000 ;98,59%;;133
4;31/01/2020; 2 500 000 ;100,00%;;152
5;31/01/2020; 1 150 000 ;99,00%;;185
6;31/01/2020; 4 700 000 ;70,00%;;199
7;31/01/2020; 5 000 000 ;98,00%;;200
8;31/01/2020; 2 900 000 ;86,00%;;210
9;31/01/2020; 1 500 000 ;95,00%;;218
10;31/01/2020; 10 000 000 ;96,00%;;222
11;31/01/2020; 500 000 ;90,00%;;235
12;31/01/2020; 8 000 000 ;41,48%;;237
13;31/01/2020; 1 000 000 ;70,00%;;243
14;31/01/2020; 10 000 000 ;0,00%;;245
15;31/01/2020; 400 000 ;79,00%;;249
16;31/01/2020; 1 400 000 ;98,00%;;257
17;31/01/2020; 500 000 ;98,20%;;259
18;31/01/2020; 6 000 000 ;83,08%;;260
19;31/01/2020; 600 000 ;48,00%;;271
20;31/01/2020; 1 600 000 ;86,85%;;274
21;31/01/2020; 2 500 000 ;96,83%;;278
22;31/01/2020; 700 000 ;100,00%;;284
23;31/01/2020; 5 000 000 ;91,00%;;289
24;31/01/2020; 800 000 ;98,00%;;293
25;31/01/2020; 1 000 000 ;96,00%;;296
26;31/01/2020; 800 000 ;88,50%;;300
27;31/01/2020; 1 500 000 ;92,00%;;303
28;31/01/2020; 4 000 000 ;94,55%;;304
29;31/01/2020; 2 000 000 ;79,00%;;305
30;31/01/2020; 400 000 ;100,00%;;308
31;31/01/2020; 3 000 000 ;96,67%;;309
32;31/01/2020; 400 000 ;86,30%;;318
33;31/01/2020; 2 800 000 ;100,00%;;321
34;31/01/2020; 1 000 000 ;90,00%;;323
35;31/01/2020; 1 000 000 ;97,00%;;328
36;31/01/2020; 2 000 000 ;97,00%;;330
37;31/01/2020; 3 100 000 ;98,80%;;332
38;31/01/2020; 1 500 000 ;93,85%;;333
39;31/01/2020; 500 000 ;88,80%;;334
40;31/01/2020; 400 000 ;88,00%;;336
41;31/01/2020; 1 000 000 ;86,00%;;338
