id;dateAutorisation;dateEcheance;montantCredit;statut;encours;objetFinancement;numDossier;Utilisateur_id;Agence_id;Projet_id;Statut_id;typeCredit_id;tauxCredit;date_encours
1;25/11/2020;31/12/2021;4 000 000,00;Echus;3 715 004,95;RLC;111001;;910;1;;;3,50%;31/12/2022
2;26/11/2020;31/12/2022;5 000 000,00;Rembours�;3 151 083,90;RLC;111002;;385;2;;;3,50%;31/12/2022
10000;25/11/2020;31/12/2021;4 000 000,00;Echus;3 715 004,95;RLC;111001;9999;9999;1;9999;9999;3,50%;31/12/2022
3;16/11/2020;31/10/2022;15 000 000,00;Rembours�;0,00;RLC;111003;;909;3;;;3,50%;31/12/2022
4;25/11/2020;31/07/2023;6 000 000,00;Rembours�;0,00;RLC;111004;;382;4;;;3,50%;31/12/2022
5;25/11/2020;31/10/2023;13 000 000,00;Rembours�;0,00;RLC;111005;;704;5;;;3,50%;31/12/2022
6;28/12/2020;30/06/2022;400 000,00;Echus;319 206,88;RLC;111006;;389;6;;;3,50%;31/12/2022
7;17/12/2020;31/10/2022;200 000,00;Rembours�;0,00;RLC;111007;;981;7;;;3,50%;31/12/2022
8;07/12/2020;31/03/2023;4 000 000,00;Rembours�;0,00;RLC;111008;;621;8;;;3,50%;31/12/2022
9;21/12/2020;30/06/2023;400 000,00;Rembours�;0,00;RLC;111009;;981;9;;;3,50%;31/12/2022
10;28/12/2020;31/07/2023;300 000,00;Rembours�;0,00;RLC;111010;;218;10;;;3,50%;31/12/2022
11;01/12/2020;30/11/2022;1 000 000,00;Rembours�;0,00;RLC;111011;;47;11;;;3,50%;31/12/2022
12;22/12/2020;31/07/2022;2 000 000,00;Rembours�;0,00;RLC;111012;;648;12;;;3,50%;31/12/2022
13;01/12/2020;31/12/2022;6 300 000,00;Rembours�;0,00;RLC;111013;;664;13;;;3,50%;31/12/2022
14;28/12/2020;31/01/2022;200 000,00;Echus;212 601,18;RLC;111014;;49;14;;;3,50%;31/12/2022
15;01/12/2020;31/12/2022;3 500 000,00;Rembours�;0,00;RLC;111016;;389;15;;;3,50%;31/12/2022
16;03/12/2020;31/10/2022;2 500 000,00;Echus;2 660 622,59;RLC;111017;;692;16;;;3,50%;31/12/2022
17;03/12/2020;30/06/2023;1 500 000,00;en gestion;1 596 881,70;RLC;111018;;382;17;;;3,50%;31/12/2022
