id;date; montant ;dossierdecredit_id;taux
1;31/01/2020; 4994000 ;10000;
2;31/01/2020; 468 408,00 ;3;
3;31/01/2020; 1 118 092,27 ;4;
4;31/01/2020; 200 000,00 ;5;
5;31/01/2020; 1 200 000,00 ;7;
6;31/01/2020; 2 000 000,00 ;8;
7;31/01/2020; 600 000,00 ;8;
8;31/01/2020; 3 324 800,00 ;9;
9;31/01/2020; 13 724 800,00 ;9;
10;31/01/2020; 3 951 245,25 ;10;
11;31/01/2020; 1 036 000,00 ;11;
12;31/01/2020; 19 246 955,62 ;12;
13;31/01/2020; 3 100 000,00 ;13;
14;31/01/2020; 13 000 000,00 ;13;
15;31/01/2020; 285 000,00 ;13;
16;31/01/2020; 3 796 000,00 ;15;
17;31/01/2020; 923 000,00 ;15;
18;31/01/2020; 380 000,00 ;15;
19;31/01/2020; 4 000 000,00 ;15;
20;31/01/2020; 1 837 246,90 ;21;
21;31/01/2020; 400 000,00 ;21;
22;31/01/2020; 635,68 ;22;
23;31/01/2020; 3 500 000,00 ;22;
24;31/01/2020; 385 263,44 ;23;
25;31/01/2020; 598 345,00 ;26;
26;31/01/2020; 3 097 805,01 ;26;
27;31/01/2020; 258 000,00 ;26;
28;31/01/2020; 1 460 298,14 ;27;
29;31/01/2020; 4 860 000,00 ;27;
30;31/01/2020; 300 000,00 ;30;
31;31/01/2020; 414 638,90 ;31;
32;31/01/2020; 873 000,00 ;31;
33;31/01/2020; 2 583 000,00 ;34;
34;31/01/2020; 4 237 800,00 ;34;
35;31/01/2020; 108 813,51 ;35;
36;31/01/2020; 266 738,59 ;36;
37;31/01/2020; 20 000 000,00 ;38;
38;31/01/2020; 385 750,92 ;38;
39;31/01/2020; 23 833,34 ;38;
40;31/01/2020; 456 558,20 ;39;
41;31/01/2020; 1 566 045,42 ;39;
42;31/01/2020; 175 919,11 ;39;
43;28/02/2020; 396 000,00 ;40;
44;28/02/2020; 750 417,00 ;40;
45;28/02/2020; 1 223 903,00 ;45;
46;28/02/2020; 500 000,00 ;46;
47;28/02/2020; 5 000 000,00 ;46;
48;28/02/2020; 3 100 000,00 ;46;
49;28/02/2020; 1 145 400,00 ;46;
50;28/02/2020; 850 000,00 ;47;
51;28/02/2020; 7 925 000,00 ;49;
52;28/02/2020; 6 711 668,23 ;49;
53;28/02/2020; 3 066 000,00 ;53;
54;28/02/2020; 1 693 500,00 ;54;
55;28/02/2020; 588 000,00 ;54;
56;28/02/2020; 6 399 000,00 ;54;
57;28/02/2020; 3 660 000,00 ;54;
58;28/02/2020; 750 000,00 ;54;
59;28/02/2020; 795 000,00 ;55;
60;28/02/2020; 240 000,00 ;55;
61;28/02/2020; 688 500,00 ;55;
62;28/02/2020; 2 437 500,00 ;56;
63;28/02/2020; 605 000,00 ;57;
64;28/02/2020; 1 040 000,00 ;57;
65;28/02/2020; 360 000,00 ;57;
66;28/02/2020; 3 500 000,00 ;58;
67;28/02/2020; 6 383 800,00 ;58;
68;28/02/2020; 16 000 000,00 ;60;
69;28/02/2020; 8 280 000,00 ;60;
70;28/02/2020; 773 378,82 ;60;
71;28/02/2020; 1 764 368,55 ;60;
